Name|md5|Machine|SizeOfOptionalHeader|Characteristics|MajorLinkerVersion|MinorLinkerVersion|SizeOfCode|SizeOfInitializedData|SizeOfUninitializedData|AddressOfEntryPoint|BaseOfCode|BaseOfData|ImageBase|SectionAlignment|FileAlignment|MajorOperatingSystemVersion|MinorOperatingSystemVersion|MajorImageVersion|MinorImageVersion|MajorSubsystemVersion|MinorSubsystemVersion|SizeOfImage|SizeOfHeaders|CheckSum|Subsystem|DllCharacteristics|SizeOfStackReserve|SizeOfStackCommit|SizeOfHeapReserve|SizeOfHeapCommit|LoaderFlags|NumberOfRvaAndSizes|SectionsNb|SectionsMeanEntropy|SectionsMinEntropy|SectionsMaxEntropy|SectionsMeanRawsize|SectionsMinRawsize|SectionMaxRawsize|SectionsMeanVirtualsize|SectionsMinVirtualsize|SectionMaxVirtualsize|ImportsNbDLL|ImportsNb|ImportsNbOrdinal|ExportNb|ResourcesNb|ResourcesMeanEntropy|ResourcesMinEntropy|ResourcesMaxEntropy|ResourcesMeanSize|ResourcesMinSize|ResourcesMaxSize|LoadConfigurationSize|VersionInformationSize|packed|legitimate
027026d43ee34be950cf9578fa62efbf100c8b90475ad2e3b7e00f4bf1a17ec2.exe|38b0b31e9a60f98dc97c2fb07c1c67b4|332|224|258|11|0|553472|32768|0|561438|8192|565248|4194304|8192|512|4|0|0|0|4|0|606208|512|623035|2|34112|1048576|4096|1048576|4096|0|16|3|4.348850898280679|0.10191042566270775|7.096677776970499|195413.33333333334|512|553472|195164.66666666666|12|553252|1|1|0|0|80|3.357424456710825|2.6235166412180155|6.364245778226523|319.8125|13|9640|0|0|1|0
d2221c20900d9aebbd0d19bf17ad41483e7453ad190d07b4f6d5b9dc213d3224.exe|c20b29f54755d2bc04e44baa800b9a7d|332|224|258|14|16|197120|395264|0|6906|4096|204800|4194304|4096|512|5|1|0|0|5|1|614400|1024|616550|2|33088|1048576|4096|1048576|4096|0|16|5|6.018872153800588|5.060633416903721|6.626540345247119|118476.8|5120|345600|119084.8|8208|345232|3|105|0|0|13|5.561809836113193|3.0707515164570243|7.967575811882024|26496.076923076922|132|152104|160|0|1|0
31984bd41a4812ad39b5b59f7d456e336194d4ce1c1060b78462fb2a11a2c704.exe|f19ebdc1c071a5d36ef33273bb902b03|332|224|33166|2|25|576000|241664|0|579704|4096|581632|4194304|4096|512|4|0|0|0|4|0|839680|1024|0|2|0|1048576|16384|1048576|4096|0|16|8|3.6297346876203185|0.0|6.655939451829705|102208.0|0|576000|102498.125|24|575688|16|423|0|0|66|3.104827199994903|1.8387586809150083|6.597184959924654|2721.6060606060605|16|137540|0|0|1|0
186560894e5762221b8dd00482eff24ea616619628235d1e1a0967eb307c3893.exe|95cd540219596608c66b3a3bcf59b904|332|224|270|6|0|534016|1536|0|542034|8192|548864|4194304|8192|512|4|0|0|0|4|0|565248|512|0|2|34112|1048576|4096|1048576|4096|0|16|3|3.7007877507823057|0.10191042566270775|7.854610047391476|178517.33333333334|512|534016|178289.33333333334|12|533848|1|1|0|0|1|3.284230380371315|3.284230380371315|3.284230380371315|920.0|920|920|0|0|1|0
RIP_YOUR_PC_LOL.bin|637e757d38a8bf22ebbcd6c7a71b8d14|332|224|259|8|0|91648|27648|0|43868|4096|98304|4194304|4096|512|4|0|5|1|4|0|139264|1024|175025|2|0|1048576|4096|1048576|4096|0|16|4|4.959101104192781|2.2512862606194464|6.635305560633182|29824.0|4096|91648|31385.5|3868|91198|6|145|1|0|5|3.7673571900341267|1.8192407046368488|5.353552373474664|703.2|20|2216|72|0|1|0
413cbcecb6b701065c9cc311c8b1236070655f10da521b87ad3f1ada23173817.exe|1d0724df6abb34363f48536847b87af7|34404|240|8226|12|0|380928|314368|0|210652|4096|0|6442450944|4096|512|6|0|0|0|6|0|708608|1024|0|2|288|1048576|4096|1048576|4096|0|16|6|5.604213680303238|3.8638293765242397|7.775067258642137|114005.33333333333|4096|380928|115575.83333333333|3700|380675|3|104|0|129|3|5.0859715203696165|2.566961045565863|7.779338999807882|55119.0|112|164864|112|0|0|0
889bf0aea232ff40a6c9fabf98e661f72faf7d54ae7dda30f8dfc37e02972004.exe|4c54359e825e525e5109970a0dd62bca|332|224|258|80|0|410112|2048|0|418274|8192|425984|4194304|8192|512|4|0|0|0|4|0|442368|512|0|2|34112|1048576|4096|1048576|4096|0|16|3|3.9589823592147315|0.10191042566270775|7.602767653356865|137386.66666666666|512|410112|137200.0|12|410088|1|1|0|0|2|4.161395153811137|3.3216734939470873|5.0011168136751865|667.0|490|844|0|0|1|0
3d727238c4f455ec0728148e58b1f9b016b5f322a50b7e32f9ba732bbe08296d.exe|d34c465c9c51332b24e1b4de14b2514d|332|224|33166|2|25|576000|241664|0|579704|4096|581632|4194304|4096|512|4|0|0|0|4|0|839680|1024|0|2|0|1048576|16384|1048576|4096|0|16|8|3.6319011773606427|0.0|6.673271369752299|102208.0|0|576000|102498.125|24|575688|16|423|0|0|66|3.105175993612123|1.8387586809150083|6.620205338661167|2721.6060606060605|16|137540|0|0|1|0
74722c3c666e23825260ca4ace4a9b9540f9729b95e999a257d50d7045e9c4d5.exe|673ce0accb05ad4bec25d5e31e9a5967|332|224|258|48|0|5632|167424|0|13470|8192|0|4194304|8192|512|4|0|0|0|6|0|196608|512|0|2|34144|1048576|4096|1048576|4096|0|16|3|2.7938956950089935|0.08153941234324169|5.33288318299661|57685.333333333336|512|166912|57402.666666666664|12|166912|1|1|0|0|12|3.50582454440328|2.1949907873962298|7.524913746410776|13851.0|132|67624|0|0|1|0
09e78c601be649601d88efd9cab2d3730176cbb0adc4a4105ec3e37af037e7bd.exe|a1bd77437c6e7f6813b893d8814d58ef|332|224|258|9|0|1591296|135168|0|33008|4096|1597440|4194304|4096|512|5|0|0|0|5|0|1736704|1024|1754563|2|33088|1048576|4096|1048576|4096|0|16|4|5.197060136099728|2.3738614087177052|7.963828494170676|429696.0|4096|1591296|431305.5|11612|1590988|1|100|0|0|15|4.149412018841167|2.581459566950082|7.9859256386374184|6984.466666666666|90|65195|72|0|0|0
